,stock,price,needle strength,compilation,url
Stylecraft Special dk 1001 White,"
Lieferbar
","3,05",4 mm,100% Acryl,https://www.wollplatz.de/wolle/stylecraft/stylecraft-special-dk
Durable Comfy 203 Light Pink,"
Lieferbar
","3,20",3 mm - 4 mm mm,100% Microvezel acryl,https://www.wollplatz.de/artikel/47261/durable-comfy.html
SMC Catania Box Space Trip,"
Lieferbar
","39,29",no data,no data,https://www.wollplatz.de/artikel/47124/smc-catania-box-space-trip.html
SMC Catania Amigurumi Box Früchte,"
Lieferbar
","39,29",no data,no data,https://www.wollplatz.de/artikel/47123/smc-catania-amigurumi-box-fruechte.html
Katia Cotton in Love 050 Crudo,"
Lieferbar
","5,85","3,5 - 4 mm",50% merino fine en 50% Egyptisch katoen,https://www.wollplatz.de/wolle/katia-cotton-in-love
Gütermann Nähgarnset Denim Box,"
Halten Sie mich auf dem Laufenden Senden Sie mir eine E-Mail, wenn das Produkt verfügbar ist
Senden

","42,19",no data,no data,https://www.wollplatz.de/artikel/46357/guetermann-naehgarnset-denim-box.html
Gütermann Nähgarnset Creative Cotton Box,"
Lieferbar
","84,48",no data,no data,https://www.wollplatz.de/pakete/weiterepakete/guetermann-naehgarnset-creative-cotton-box
Gütermann Nähgarnset Cotton Box,"
Lieferbar
","58,91",no data,no data,https://www.wollplatz.de/pakete/weiterepakete/guetermann-naehgarnset-cotton-box
Go Handmade Curly 040 Beige,"
Lieferbar
","5,16",3 - 4 mm,"59% Polyester, 12% Nylon & 29% Acryl",https://www.wollplatz.de/wolle/go-handmade/go-handmade-curly
Go Handmade Bohème Velvet Double 20 Rusty,"
Lieferbar
","5,16",4 - 6 mm,100% Polyester,https://www.wollplatz.de/wolle/go-handmade/go-handmade-boheme-velvet-double
Go Handmade Bohème Velvet Fine 01 Light Grey,"
Lieferbar
","5,16",2.5 - 3.5 mm,100% Polyester,https://www.wollplatz.de/wolle/go-handmade/go-handmade-boheme-velvet-fine
