,Stock,Price,Needle strength,Compilation,URL
Stylecraft Special dk 1001 White,in stock,"3,05",4 mm,100% Acryl,https://www.wollplatz.de/wolle/stylecraft/stylecraft-special-dk
Durable Comfy 203 Light Pink,in stock,"3,20",3 mm - 4 mm mm,100% Microvezel acryl,https://www.wollplatz.de/artikel/47261/durable-comfy.html
SMC Catania Box Space Trip,in stock,"39,29",no data,no data,https://www.wollplatz.de/artikel/47124/smc-catania-box-space-trip.html
SMC Catania Amigurumi Box Früchte,in stock,"39,29",no data,no data,https://www.wollplatz.de/artikel/47123/smc-catania-amigurumi-box-fruechte.html
Katia Cotton in Love 050 Crudo,in stock,"5,85","3,5 - 4 mm",50% merino fine en 50% Egyptisch katoen,https://www.wollplatz.de/wolle/katia-cotton-in-love
Gütermann Nähgarnset Denim Box,out of stock for now,"42,19",no data,no data,https://www.wollplatz.de/artikel/46357/guetermann-naehgarnset-denim-box.html
Gütermann Nähgarnset Creative Cotton Box,in stock,"84,48",no data,no data,https://www.wollplatz.de/pakete/weiterepakete/guetermann-naehgarnset-creative-cotton-box
Gütermann Nähgarnset Cotton Box,in stock,"58,91",no data,no data,https://www.wollplatz.de/pakete/weiterepakete/guetermann-naehgarnset-cotton-box
Go Handmade Curly 040 Beige,in stock,"5,16",3 - 4 mm,"59% Polyester, 12% Nylon & 29% Acryl",https://www.wollplatz.de/wolle/go-handmade/go-handmade-curly
Go Handmade Bohème Velvet Double 20 Rusty,in stock,"5,16",4 - 6 mm,100% Polyester,https://www.wollplatz.de/wolle/go-handmade/go-handmade-boheme-velvet-double
Go Handmade Bohème Velvet Fine 01 Light Grey,in stock,"5,16",2.5 - 3.5 mm,100% Polyester,https://www.wollplatz.de/wolle/go-handmade/go-handmade-boheme-velvet-fine
Go Handmade Soft Bamboo Double 54 Nude Beige,out of stock for now,"5,16",3 - 4 mm,"70% Bamboe, 23% Katoen & 7% Acryl",https://www.wollplatz.de/wolle/go-handmade/go-handmade-soft-bamboo-double
DMC Farbkarte Mouliné,in stock,"35,21",no data,no data,https://www.wollplatz.de/wolle/dmc/dmc-farbkarte-mouline
Lana Grossa Meilenweit 100 Tweed 106 Nature Mixed,in stock,"7,38",no data,no data,https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-meilenweit-100-tweed
